Country,Headquarters,Industry,CEO,Website,Company Type,Ticker,Revenues ($M),Profits ($M),Market Value ($M),Employees,Revenues ($M),Profits ($M),Assets ($M),Total Stockholder Equity ($M),Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),EPS % Change (from 2018),EPS % Change (5 year annual rate),EPS % Change (10 year annual rate),Total Return to Investors (2019),Total Return to Investors (5 year annualized),Total Return to Investors (10 year annualized),
U.S.,Long Beach Calif.,Health Care: Insurance and Managed Care,Joseph M. Zubretsky,https://www.molinahealthcare.com,Public,MOH,$16829,$737,$8500.8,10000,$16829,$737,$6787,$1960,4.4%,10.9%,37.6%,11.47,8.1%,54.8%,30.6%,16.8%,20.4%,24.4%,
U.S.,Teaneck N.J.,Information Technology Services,Brian Humphries,https://www.cognizant.com,Public,CTSH,$16783,$1842,$25495.2,292500,$16783,$1842,$16204,$11022,11%,11.4%,16.7%,3.29,-8.6%,7%,14%,-1.1%,3.9%,10.9%,
U.S.,New York N.Y.,Diversified Financials,Daniel S. Glaser,https://www.mmc.com,Public,MMC,$16652,$1742,$43567,76000,$16652,$1742,$31357,$7793,10.5%,5.6%,22.4%,3.41,5.6%,5.2%,23.3%,42.2%,16.5%,20.3%,
U.S.,Greenwich Conn.,Transportation and Logistics,Bradley S. Jacobs,https://www.xpo.com,Public,XPO,$16648,$419,$4502.4,100000,$16648,$419,$14128,$2743,2.5%,3%,15.3%,3.57,24%,-,33.4%,39.7%,14.3%,31.6%,
U.S.,Richmond Va.,Utilities: Gas and Electric,Thomas F. Farrell II,https://www.dominionenergy.com,Public,D,$16572,$1358,$60514.9,19100,$16572,$1358,$103823,$31994,8.2%,1.3%,4.2%,1.62,-56.7%,-6.3%,-2.9%,21.4%,5.8%,12.3%,
U.S.,San Jose Calif.,Computers Office Equipment,David V. Goeckeler,https://www.westerndigital.com,Public,WDC,$16569,$-754,$12441.5,61800,$16569,$-754,$26370,$9967,-4.6%,-2.9%,-7.6%,-2.58,-217.3%,-,-,78.7%,-7.7%,5.7%,
U.S.,San Francisco Calif.,Specialty Retailers: Apparel,Sonia Syngal,https://www.gapinc.com,Public,GPS,$16383,$351,$2614,129000,$16383,$351,$13679,$3316,2.1%,2.6%,10.6%,0.93,-64.1%,-20.2%,-5.2%,-28.2%,-12.9%,1%,
U.S.,Philadelphia Pa.,Diversified Outsourcing Services,John J. Zillmer,https://www.aramark.com,Public,ARMK,$16227.3,$448.5,$5037.8,233400,$16227.3,$448.5,$13736.3,$3320,2.8%,3.3%,13.5%,1.78,-20.5%,23.1%,-,51.6%,8.1%,-,
U.S.,Des Moines Iowa,Insurance: Life Health (stock),Daniel J. Houston,https://www.principal.com,Public,PFG,$16222.1,$1394.2,$8608.7,17601,$16222.1,$1394.2,$276087.8,$14618,8.6%,0.5%,9.5%,4.96,-7.5%,6.3%,9.7%,29.5%,4.7%,11.9%,
U.S.,Dublin Calif.,Specialty Retailers: Apparel,Barbara Rentler,https://www.rossstores.com,Public,ROST,$16039.1,$1660.9,$30952.3,92500,$16039.1,$1660.9,$9348.4,$3359.2,10.4%,17.8%,49.4%,4.6,8%,15.8%,17.9%,41.3%,21%,28.3%,
U.S.,New York N.Y.,Household and Personal Products,Noel R. Wallace,https://www.colgatepalmolive.com,Public,CL,$15693,$2367,$56900.2,34300,$15693,$2367,$15034,$117,15.1%,15.7%,2023.1%,2.75,-,3.1%,2.3%,18.6%,2.3%,7.8%,
U.S.,Columbus Ohio,Utilities: Gas and Electric,Nicholas K. Akins,https://www.aep.com,Public,AEP,$15561.4,$1921.1,$39576.7,17408,$15561.4,$1921.1,$75892.3,$19632.2,12.3%,2.5%,9.8%,3.88,-0.5%,3%,2.7%,30.4%,13.1%,15%,
U.S.,Seattle Wash.,General Merchandisers,Erik B. Nordstrom,https://www.nordstrom.com,Public,JWN,$15524,$496,$2398.4,75000,$15524,$496,$9737,$979,3.2%,5.1%,50.7%,3.18,-4.2%,-3.1%,4.7%,-8.6%,-8.4%,4.2%,
U.S.,Dallas Texas,Engineering Construction,Steven J. Demetriou,https://www.jacobs.com,Public,J,$15463.6,$848,$10546.9,50000,$15463.6,$848,$11462.7,$5714.7,5.5%,7.4%,14.8%,6.08,419.7%,19.6%,6.6%,54.9%,15.6%,9.4%,
U.S.,Houston Texas,[hotlink]Waste Management[/hotlink],James C. Fish Jr.,https://www.wm.com,Public,WM,$15455,$1670,$39210.9,44900,$15455,$1670,$27743,$7068,10.8%,6%,23.6%,3.91,-12.1%,7%,6.9%,30.4%,20.1%,16.4%,
U.S.,Eden Prairie Minn.,Transportation and Logistics,Robert C. Biesterfeld Jr.,https://www.chrobinson.com,Public,CHRW,$15309.5,$577,$8694.7,15427,$15309.5,$577,$4641.1,$1670.7,3.8%,12.4%,34.5%,4.19,-11.4%,6.6%,7%,-4.7%,3.2%,5.2%,
U.S.,Pittsburgh Pa.,Chemicals,Michael H. McGarry,https://www.ppg.com,Public,PPG,$15146,$1243,$19722.1,47600,$15146,$1243,$17708,$5284,8.2%,7%,23.5%,5.22,-4.6%,-7%,17.8%,32.8%,4.5%,18.6%,
U.S.,Norwalk Conn.,Internet Services and Retailing,Glenn D. Fogel,https://www.bookingholdings.com,Public,BKNG,$15066,$4865,$55241.3,26400,$15066,$4865,$21402,$5933,32.3%,22.7%,82%,111.82,34.3%,19.6%,27.5%,19.2%,12.5%,25.1%,
U.S.,New York N.Y.,Advertising marketing,John D. Wren,https://www.omnicomgroup.com,Public,OMC,$14953.7,$1339.1,$11906,70000,$14953.7,$1339.1,$26783.4,$2853.9,9%,5%,46.9%,6.06,3.9%,7.4%,9.1%,14.3%,3.9%,10.4%,
U.S.,New York N.Y.,Insurance: Property and Casualty (Stock),James S. Tisch,https://www.loews.com,Public,L,$14931,$932,$10023,18605,$14931,$932,$82243,$19119,6.2%,1.1%,4.9%,3.07,54.3%,14.6%,9%,15.9%,5.1%,4.4%,
U.S.,St. Paul Minn.,Chemicals,Douglas M. Baker Jr.,https://www.ecolab.com,Public,ECL,$14906.3,$1558.9,$45060.8,50200,$14906.3,$1558.9,$20869.1,$8685.3,10.5%,7.5%,17.9%,5.33,9.2%,6.3%,11.8%,32.3%,14.4%,17.2%,
U.S.,Kalamazoo Mich.,Medical Products and Equipment,Kevin A. Lobo,https://www.stryker.com,Public,SYK,$14884,$2083,$62405.1,40000,$14884,$2083,$30167,$12807,14%,6.9%,16.3%,5.48,-41.3%,32.5%,7.1%,35.4%,18.8%,16.9%,
